//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
Ð             Ð             Ð             &#208;          &#x00D0;        &ETH;           Eth             latin capital letter ETH, U+00D0 ISOlat1
Ñ             Ñ             Ñ             &#209;          &#x00D1;        &Ntilde;        Ntilde          latin capital letter N with tilde, U+00D1 ISOlat1
Ò             Ò             Ò             &#210;          &#x00D2;        &Ograve;        Ograve          latin capital letter O with grave, U+00D2 ISOlat1
Ó             Ó             Ó             &#211;          &#x00D3;        &Oacute;        Oacute          latin capital letter O with acute, U+00D3 ISOlat1
Ô             Ô             Ô             &#212;          &#x00D4;        &Ocirc;         Ocircumflex     latin capital letter O with circumflex, U+00D4 ISOlat1
Õ             Õ             Õ             &#213;          &#x00D5;        &Otilde;        Otilde          latin capital letter O with tilde, U+00D5 ISOlat1
Ö             Ö             Ö             &#214;          &#x00D6;        &Ouml;          Odieresis       latin capital letter O with diaeresis, U+00D6 ISOlat1
×             ×             ×             &#215;          &#x00D7;        &times;         multiply        multiplication sign, U+00D7 ISOnum
Ø             Ø             Ø             &#216;          &#x00D8;        &Oslash;        Oslash          latin capital letter O with stroke = latin capital letter O slash, U+00D8 ISOlat1
Ù             Ù             Ù             &#217;          &#x00D9;        &Ugrave;        Ugrave          latin capital letter U with grave, U+00D9 ISOlat1
Ú             Ú             Ú             &#218;          &#x00DA;        &Uacute;        Uacute          latin capital letter U with acute, U+00DA ISOlat1
Û             Û             Û             &#219;          &#x00DB;        &Ucirc;         Ucircumflex     latin capital letter U with circumflex, U+00DB ISOlat1
Ü             Ü             Ü             &#220;          &#x00DC;        &Uuml;          Udieresis       latin capital letter U with diaeresis, U+00DC ISOlat1
Ý             Ý             Ý             &#221;          &#x00DD;        &Yacute;        Yacute          latin capital letter Y with acute, U+00DD ISOlat1
Þ             Þ             Þ             &#222;          &#x00DE;        &THORN;         Thorn           latin capital letter THORN, U+00DE ISOlat1
ß             ß             ß             &#223;          &#x00DF;        &szlig;         germandbls      latin small letter sharp s = ess-zed, U+00DF ISOlat1
à             à             à             &#224;          &#x00E0;        &agrave;        agrave          latin small letter a with grave = latin small letter a grave, U+00E0 ISOlat1
á             á             á             &#225;          &#x00E1;        &aacute;        aacute          latin small letter a with acute, U+00E1 ISOlat1
â             â             â             &#226;          &#x00E2;        &acirc;         acircumflex     latin small letter a with circumflex, U+00E2 ISOlat1
ã             ã             ã             &#227;          &#x00E3;        &atilde;        atilde          latin small letter a with tilde, U+00E3 ISOlat1
ä             ä             ä             &#228;          &#x00E4;        &auml;          adieresis       latin small letter a with diaeresis, U+00E4 ISOlat1
å             å             å             &#229;          &#x00E5;        &aring;         aring           latin small letter a with ring above = latin small letter a ring, U+00E5 ISOlat1
æ             æ             æ             &#230;          &#x00E6;        &aelig;         ae              latin small letter ae = latin small ligature ae, U+00E6 ISOlat1
ç             ç             ç             &#231;          &#x00E7;        &ccedil;        ccedilla        latin small letter c with cedilla, U+00E7 ISOlat1
è             è             è             &#232;          &#x00E8;        &egrave;        egrave          latin small letter e with grave, U+00E8 ISOlat1
é             é             é             &#233;          &#x00E9;        &eacute;        eacute          latin small letter e with acute, U+00E9 ISOlat1
ê             ê             ê             &#234;          &#x00EA;        &ecirc;         ecircumflex     latin small letter e with circumflex, U+00EA ISOlat1
ë             ë             ë             &#235;          &#x00EB;        &euml;          edieresis       latin small letter e with diaeresis, U+00EB ISOlat1
ì             ì             ì             &#236;          &#x00EC;        &igrave;        igrave          latin small letter i with grave, U+00EC ISOlat1
í             í             í             &#237;          &#x00ED;        &iacute;        iacute          latin small letter i with acute, U+00ED ISOlat1
î             î             î             &#238;          &#x00EE;        &icirc;         icircumflex     latin small letter i with circumflex, U+00EE ISOlat1
ï             ï             ï             &#239;          &#x00EF;        &iuml;          idieresis       latin small letter i with diaeresis, U+00EF ISOlat1
ð             ð             ð             &#240;          &#x00F0;        &eth;           eth             latin small letter eth, U+00F0 ISOlat1
ñ             ñ             ñ             &#241;          &#x00F1;        &ntilde;        ntilde          latin small letter n with tilde, U+00F1 ISOlat1
ò             ò             ò             &#242;          &#x00F2;        &ograve;        ograve          latin small letter o with grave, U+00F2 ISOlat1
ó             ó             ó             &#243;          &#x00F3;        &oacute;        oacute          latin small letter o with acute, U+00F3 ISOlat1
ô             ô             ô             &#244;          &#x00F4;        &ocirc;         ocircumflex     latin small letter o with circumflex, U+00F4 ISOlat1
õ             õ             õ             &#245;          &#x00F5;        &otilde;        otilde          latin small letter o with tilde, U+00F5 ISOlat1
ö             ö             ö             &#246;          &#x00F6;        &ouml;          odieresis       latin small letter o with diaeresis, U+00F6 ISOlat1
