//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
Ǘ            Ǘ                            &#471;          &#x01D7;                        Udieresisacute  
ǘ            ǘ                            &#472;          &#x01D8;                        udieresisacute  
Ǚ            Ǚ                            &#473;          &#x01D9;                        Udieresiscaron  
ǚ            ǚ                            &#474;          &#x01DA;                        udieresiscaron  
Ǜ            Ǜ                            &#475;          &#x01DB;                        Udieresisgrave  
ǜ            ǜ                            &#476;          &#x01DC;                        udieresisgrave  
ǝ            ǝ                            &#477;          &#x01DD;                        eturned         
Ǟ            Ǟ                            &#478;          &#x01DE;                        Adieresismacron 
ǟ            ǟ                            &#479;          &#x01DF;                        adieresismacron 
Ǡ            Ǡ                            &#480;          &#x01E0;                        Adotmacron      
ǡ            ǡ                            &#481;          &#x01E1;                        adotmacron      
Ǣ            Ǣ                            &#482;          &#x01E2;                        AEmacron        
ǣ            ǣ                            &#483;          &#x01E3;                        aemacron        
Ǥ            Ǥ                            &#484;          &#x01E4;                        Gstroke         
ǥ            ǥ                            &#485;          &#x01E5;                        gstroke         
Ǧ            Ǧ                            &#486;          &#x01E6;                        Gcaron          
ǧ            ǧ                            &#487;          &#x01E7;                        gcaron          
Ǩ            Ǩ                            &#488;          &#x01E8;                        Kcaron          
ǩ            ǩ                            &#489;          &#x01E9;                        kcaron          
Ǫ            Ǫ                            &#490;          &#x01EA;                        Oogonek         
ǫ            ǫ                            &#491;          &#x01EB;                        oogonek         
Ǭ            Ǭ                            &#492;          &#x01EC;                        Oogonekmacron   
ǭ            ǭ                            &#493;          &#x01ED;                        oogonekmacron   
Ǯ            Ǯ                            &#494;          &#x01EE;                        Ezhcaron        
ǯ            ǯ                            &#495;          &#x01EF;                        ezhcaron        
ǰ            ǰ                            &#496;          &#x01F0;                        jcaron          
Ǳ            Ǳ                            &#497;          &#x01F1;                        DZ              
ǲ            ǲ                            &#498;          &#x01F2;                        Dz              
ǳ            ǳ                            &#499;          &#x01F3;                        dz              
Ǵ            Ǵ                            &#500;          &#x01F4;                        Gacute          
ǵ            ǵ                            &#501;          &#x01F5;                        gacute          
Ǻ            Ǻ                            &#506;          &#x01FA;                        Aringacute      
ǻ            ǻ                            &#507;          &#x01FB;                        aringacute      
Ǽ            Ǽ                            &#508;          &#x01FC;                        AEacute         
ǽ            ǽ                            &#509;          &#x01FD;                        aeacute         
Ǿ            Ǿ                            &#510;          &#x01FE;                        Oslashacute
                                                                                          Ostrokeacute  
ǿ            ǿ                            &#511;          &#x01FF;                        oslashacute
                                                                                          ostrokeacute  
Ȁ            Ȁ                            &#512;          &#x0200;                        Adblgrave       
ȁ            ȁ                            &#513;          &#x0201;                        adblgrave       
Ȃ            Ȃ                            &#514;          &#x0202;                        Ainvertedbreve  
ȃ            ȃ                            &#515;          &#x0203;                        ainvertedbreve  
Ȅ            Ȅ                            &#516;          &#x0204;                        Edblgrave       
ȅ            ȅ                            &#517;          &#x0205;                        edblgrave       
Ȇ            Ȇ                            &#518;          &#x0206;                        Einvertedbreve  
ȇ            ȇ                            &#519;          &#x0207;                        einvertedbreve  
Ȉ            Ȉ                            &#520;          &#x0208;                        Idblgrave       
ȉ            ȉ                            &#521;          &#x0209;                        idblgrave       
Ȋ            Ȋ                            &#522;          &#x020A;                        Iinvertedbreve  
ȋ            ȋ                            &#523;          &#x020B;                        iinvertedbreve  
Ȍ            Ȍ                            &#524;          &#x020C;                        Odblgrave       
ȍ            ȍ                            &#525;          &#x020D;                        odblgrave       
Ȏ            Ȏ                            &#526;          &#x020E;                        Oinvertedbreve  
ȏ            ȏ                            &#527;          &#x020F;                        oinvertedbreve  
Ȑ            Ȑ                            &#528;          &#x0210;                        Rdblgrave       
ȑ            ȑ                            &#529;          &#x0211;                        rdblgrave       
Ȓ            Ȓ                            &#530;          &#x0212;                        Rinvertedbreve  
ȓ            ȓ                            &#531;          &#x0213;                        rinvertedbreve  
Ȕ            Ȕ                            &#532;          &#x0214;                        Udblgrave       
ȕ            ȕ                            &#533;          &#x0215;                        udblgrave       
Ȗ            Ȗ                            &#534;          &#x0216;                        Uinvertedbreve  
ȗ            ȗ                            &#535;          &#x0217;                        uinvertedbreve  
Ș            Ș                            &#536;          &#x0218;                        Scommaaccent    
ș            ș                            &#537;          &#x0219;                        scommaaccent    
ɐ            ɐ                            &#592;          &#x0250;                        aturned         
ɑ            ɑ                            &#593;          &#x0251;                        ascript         
ɒ            ɒ                            &#594;          &#x0252;                        ascriptturned   
ɓ            ɓ                            &#595;          &#x0253;                        bhook           
ɔ            ɔ                            &#596;          &#x0254;                        oopen           
ɕ            ɕ                            &#597;          &#x0255;                        ccurl           
ɖ            ɖ                            &#598;          &#x0256;                        dtail           
ɗ            ɗ                            &#599;          &#x0257;                        dhook           
ɘ            ɘ                            &#600;          &#x0258;                        ereversed       
ə            ə                            &#601;          &#x0259;                        schwa           
ɚ            ɚ                            &#602;          &#x025A;                        schwahook       
ɛ            ɛ                            &#603;          &#x025B;                        eopen           
ɜ            ɜ                            &#604;          &#x025C;                        eopenreversed   
ɝ            ɝ                            &#605;          &#x025D;                        eopenreversedhook               
ɞ            ɞ                            &#606;          &#x025E;                        eopenreversedclosed             
ɟ            ɟ                            &#607;          &#x025F;                        jdotlessstroke  
ɠ            ɠ                            &#608;          &#x0260;                        ghook           
ɡ            ɡ                            &#609;          &#x0261;                        gscript         
ɣ            ɣ                            &#611;          &#x0263;                        gammalatinsmall 
ɤ            ɤ                            &#612;          &#x0264;                        ramshorn        
ɥ            ɥ                            &#613;          &#x0265;                        hturned         
ɦ            ɦ                            &#614;          &#x0266;                        hhook           
ɧ            ɧ                            &#615;          &#x0267;                        henghook        
ɨ            ɨ                            &#616;          &#x0268;                        istroke         
ɩ            ɩ                            &#617;          &#x0269;                        iotalatin       
ɫ            ɫ                            &#619;          &#x026B;                        lmiddletilde    
ɬ            ɬ                            &#620;          &#x026C;                        lbelt           
ɭ            ɭ                            &#621;          &#x026D;                        lhookretroflex  
ɮ            ɮ                            &#622;          &#x026E;                        lezh            
ɯ            ɯ                            &#623;          &#x026F;                        mturned         
ɰ            ɰ                            &#624;          &#x0270;                        mlonglegturned  
ɱ            ɱ                            &#625;          &#x0271;                        mhook           
ɲ            ɲ                            &#626;          &#x0272;                        nhookleft       
ɳ            ɳ                            &#627;          &#x0273;                        nhookretroflex  
ɵ            ɵ                            &#629;          &#x0275;                        obarred         
ɷ            ɷ                            &#631;          &#x0277;                        omegalatinclosed                
ɸ            ɸ                            &#632;          &#x0278;                        philatin        
ɹ            ɹ                            &#633;          &#x0279;                        rturned         
ɺ            ɺ                            &#634;          &#x027A;                        rlonglegturned  
ɻ            ɻ                            &#635;          &#x027B;                        rhookturned     
ɼ            ɼ                            &#636;          &#x027C;                        rlongleg        
ɽ            ɽ                            &#637;          &#x027D;                        rhook           
ɾ            ɾ                            &#638;          &#x027E;                        rfishhook       
ɿ            ɿ                            &#639;          &#x027F;                        rfishhookreversed               
ʁ            ʁ                            &#641;          &#x0281;                        Rsmallinverted  
ʂ            ʂ                            &#642;          &#x0282;                        shook           
ʃ            ʃ                            &#643;          &#x0283;                        esh             
ʄ            ʄ                            &#644;          &#x0284;                        dotlessjstrokehook              
ʅ            ʅ                            &#645;          &#x0285;                        eshsquatreversed                
ʆ            ʆ                            &#646;          &#x0286;                        eshcurl         
ʇ            ʇ                            &#647;          &#x0287;                        tturned         
ʈ            ʈ                            &#648;          &#x0288;                        tretroflexhook  
ʉ            ʉ                            &#649;          &#x0289;                        ubar            
ʊ            ʊ                            &#650;          &#x028A;                        upsilonlatin    
ʋ            ʋ                            &#651;          &#x028B;                        vhook           
ʌ            ʌ                            &#652;          &#x028C;                        vturned         
ʍ            ʍ                            &#653;          &#x028D;                        wturned         
ʎ            ʎ                            &#654;          &#x028E;                        yturned         
ʐ            ʐ                            &#656;          &#x0290;                        zretroflexhook  
ʑ            ʑ                            &#657;          &#x0291;                        zcurl           
ʒ            ʒ                            &#658;          &#x0292;                        ezh             
ʓ            ʓ                            &#659;          &#x0293;                        ezhcurl         
ʔ            ʔ                            &#660;          &#x0294;                        glottalstop     
ʕ            ʕ                            &#661;          &#x0295;                        glottalstopreversed             
ʖ            ʖ                            &#662;          &#x0296;                        glottalstopinverted             
ʗ            ʗ                            &#663;          &#x0297;                        cstretched      
ʘ            ʘ                            &#664;          &#x0298;                        bilabialclick   
ʚ            ʚ                            &#666;          &#x029A;                        eopenclosed     
ʛ            ʛ                            &#667;          &#x029B;                        Gsmallhook      
ʝ            ʝ                            &#669;          &#x029D;                        jcrossedtail    
ʞ            ʞ                            &#670;          &#x029E;                        kturned         
ʠ            ʠ                            &#672;          &#x02A0;                        qhook           
ʡ            ʡ                            &#673;          &#x02A1;                        glottalstopstroke               
ʢ            ʢ                            &#674;          &#x02A2;                        glottalstopstrokereversed       
ʣ            ʣ                            &#675;          &#x02A3;                        dzaltone        
ʤ            ʤ                            &#676;          &#x02A4;                        dezh            
ʥ            ʥ                            &#677;          &#x02A5;                        dzcurl          
ʦ            ʦ                            &#678;          &#x02A6;                        ts              
ʧ            ʧ                            &#679;          &#x02A7;                        tesh            
ʨ            ʨ                            &#680;          &#x02A8;                        tccurl          
ʰ            ʰ                            &#688;          &#x02B0;                        hsuperior       
ʱ            ʱ                            &#689;          &#x02B1;                        hhooksuperior   
ʲ            ʲ                            &#690;          &#x02B2;                        jsuperior       
ʴ            ʴ                            &#692;          &#x02B4;                        rturnedsuperior 
ʵ            ʵ                            &#693;          &#x02B5;                        rhookturnedsuperior             
ʶ            ʶ                            &#694;          &#x02B6;                        Rsmallinvertedsuperior          
ʷ            ʷ                            &#695;          &#x02B7;                        wsuperior       
ʸ            ʸ                            &#696;          &#x02B8;                        ysuperior       
ʹ            ʹ                            &#697;          &#x02B9;                        primemod        
ʺ            ʺ                            &#698;          &#x02BA;                        dblprimemod     
ʻ            ʻ                            &#699;          &#x02BB;                        commaturnedmod  
ʼ            ʼ                            &#700;          &#x02BC;                        afii57929
                                                                                          apostrophemod 
ʽ            ʽ                            &#701;          &#x02BD;                        afii64937
                                                                                          commareversedmod                
ʾ            ʾ                            &#702;          &#x02BE;                        ringhalfright   
ʿ            ʿ                            &#703;          &#x02BF;                        ringhalfleft    
ˀ            ˀ                            &#704;          &#x02C0;                        glottalstopmod  
ˁ            ˁ                            &#705;          &#x02C1;                        glottalstopreversedmod          
˂            ˂                            &#706;          &#x02C2;                        arrowheadleftmod                
˃            ˃                            &#707;          &#x02C3;                        arrowheadrightmod               
˄            ˄                            &#708;          &#x02C4;                        arrowheadupmod  
˅            ˅                            &#709;          &#x02C5;                        arrowheaddownmod                
ˇ            ˇ                            &#711;          &#x02C7;                        caron           
ˈ            ˈ                            &#712;          &#x02C8;                        verticallinemod 
ˉ            ˉ                            &#713;          &#x02C9;                        firsttonechinese                
ˊ            ˊ                            &#714;          &#x02CA;                        secondtonechinese               
ˋ            ˋ                            &#715;          &#x02CB;                        fourthtonechinese               
ˌ            ˌ                            &#716;          &#x02CC;                        verticallinelowmod              
ˍ            ˍ                            &#717;          &#x02CD;                        macronlowmod    
ˎ            ˎ                            &#718;          &#x02CE;                        gravelowmod     
ˏ            ˏ                            &#719;          &#x02CF;                        acutelowmod     
ː            ː                            &#720;          &#x02D0;                        colontriangularmod              
ˑ            ˑ                            &#721;          &#x02D1;                        colontriangularhalfmod          
˒            ˒                            &#722;          &#x02D2;                        ringhalfrightcentered           
˓            ˓                            &#723;          &#x02D3;                        ringhalfleftcentered            
˔            ˔                            &#724;          &#x02D4;                        uptackmod       
˕            ˕                            &#725;          &#x02D5;                        downtackmod     
˖            ˖                            &#726;          &#x02D6;                        plusmod         
˗            ˗                            &#727;          &#x02D7;                        minusmod        
˘            ˘                            &#728;          &#x02D8;                        breve           
˙            ˙                            &#729;          &#x02D9;                        dotaccent       
˚            ˚                            &#730;          &#x02DA;                        ring            
˛            ˛                            &#731;          &#x02DB;                        ogonek          
˝            ˝                            &#733;          &#x02DD;                        hungarumlaut    
˞            ˞                            &#734;          &#x02DE;                        rhotichookmod   
ˠ            ˠ                            &#736;          &#x02E0;                        gammasuperior   
ˣ            ˣ                            &#739;          &#x02E3;                        xsuperior       
ˤ            ˤ                            &#740;          &#x02E4;                        glottalstopreversedsuperior     
˥            ˥                            &#741;          &#x02E5;                        tonebarextrahighmod             
˦            ˦                            &#742;          &#x02E6;                        tonebarhighmod  
˧            ˧                            &#743;          &#x02E7;                        tonebarmidmod   
˨            ˨                            &#744;          &#x02E8;                        tonebarlowmod   
˩            ˩                            &#745;          &#x02E9;                        tonebarextralowmod              
̀             ̀                            &#768;          &#x0300;                        gravecmb
                                                                                          gravecomb       
́             ́                            &#769;          &#x0301;                        acutecmb
                                                                                          acutecomb      
̂             ̂                            &#770;          &#x0302;                        circumflexcmb   
̃             ̃                            &#771;          &#x0303;                        tildecmb
                                                                                          tildecomb      
̄             ̄                            &#772;          &#x0304;                        macroncmb       
̅             ̅                            &#773;          &#x0305;                        overlinecmb     
̆             ̆                            &#774;          &#x0306;                        brevecmb        
̇             ̇                            &#775;          &#x0307;                        dotaccentcmb    
̈             ̈                            &#776;          &#x0308;                        dieresiscmb     
̉             ̉                            &#777;          &#x0309;                        hookabovecomb
                                                                                          hookcmb        
̊             ̊                            &#778;          &#x030A;                        ringcmb         
̋             ̋                            &#779;          &#x030B;                        hungarumlautcmb 
̌             ̌                            &#780;          &#x030C;                        caroncmb        
̍             ̍                            &#781;          &#x030D;                        verticallineabovecmb            
̎             ̎                            &#782;          &#x030E;                        dblverticallineabovecmb         
̏             ̏                            &#783;          &#x030F;                        dblgravecmb     
̐             ̐                            &#784;          &#x0310;                        candrabinducmb  
̑             ̑                            &#785;          &#x0311;                        breveinvertedcmb                
̒             ̒                            &#786;          &#x0312;                        commaturnedabovecmb             
̓             ̓                            &#787;          &#x0313;                        commaabovecmb   
̔             ̔                            &#788;          &#x0314;                        commareversedabovecmb           
̕             ̕                            &#789;          &#x0315;                        commaaboverightcmb              
̖             ̖                            &#790;          &#x0316;                        gravebelowcmb   
̗             ̗                            &#791;          &#x0317;                        acutebelowcmb   
̘             ̘                            &#792;          &#x0318;                        lefttackbelowcmb                
̙             ̙                            &#793;          &#x0319;                        righttackbelowcmb               
̚             ̚                            &#794;          &#x031A;                        leftangleabovecmb               
̛             ̛                            &#795;          &#x031B;                        horncmb         
̜             ̜                            &#796;          &#x031C;                        ringhalfleftbelowcmb            
̝             ̝                            &#797;          &#x031D;                        uptackbelowcmb  
̞             ̞                            &#798;          &#x031E;                        downtackbelowcmb                
̟             ̟                            &#799;          &#x031F;                        plusbelowcmb    
̠             ̠                            &#800;          &#x0320;                        minusbelowcmb   
̡             ̡                            &#801;          &#x0321;                        hookpalatalizedbelowcmb         
̢             ̢                            &#802;          &#x0322;                        hookretroflexbelowcmb           
̣             ̣                            &#803;          &#x0323;                        dotbelowcmb
                                                                                          dotbelowcomb    
̤             ̤                            &#804;          &#x0324;                        dieresisbelowcmb                
̥             ̥                            &#805;          &#x0325;                        ringbelowcmb    
̧             ̧                            &#807;          &#x0327;                        cedillacmb      
̨             ̨                            &#808;          &#x0328;                        ogonekcmb       
̩             ̩                            &#809;          &#x0329;                        verticallinebelowcmb            
̪             ̪                            &#810;          &#x032A;                        bridgebelowcmb  
̫             ̫                            &#811;          &#x032B;                        dblarchinvertedbelowcmb         
̬             ̬                            &#812;          &#x032C;                        caronbelowcmb   
̭             ̭                            &#813;          &#x032D;                        circumflexbelowcmb              
̮             ̮                            &#814;          &#x032E;                        brevebelowcmb   
̯             ̯                            &#815;          &#x032F;                        breveinvertedbelowcmb           
̰             ̰                            &#816;          &#x0330;                        tildebelowcmb   
̱             ̱                            &#817;          &#x0331;                        macronbelowcmb  
̲             ̲                            &#818;          &#x0332;                        lowlinecmb      
̳             ̳                            &#819;          &#x0333;                        dbllowlinecmb   
̴             ̴                            &#820;          &#x0334;                        tildeoverlaycmb 
̵             ̵                            &#821;          &#x0335;                        strokeshortoverlaycmb           
̶             ̶                            &#822;          &#x0336;                        strokelongoverlaycmb            
̷             ̷                            &#823;          &#x0337;                        solidusshortoverlaycmb          
̸             ̸                            &#824;          &#x0338;                        soliduslongoverlaycmb           
̹             ̹                            &#825;          &#x0339;                        ringhalfrightbelowcmb           
̺             ̺                            &#826;          &#x033A;                        bridgeinvertedbelowcmb          
̻             ̻                            &#827;          &#x033B;                        squarebelowcmb  
̼             ̼                            &#828;          &#x033C;                        seagullbelowcmb 
̽             ̽                            &#829;          &#x033D;                        xabovecmb       
̾             ̾                            &#830;          &#x033E;                        tildeverticalcmb                
̿             ̿                            &#831;          &#x033F;                        dbloverlinecmb  
̀             ̀                            &#832;          &#x0340;                        gravetonecmb    
́             ́                            &#833;          &#x0341;                        acutetonecmb    
͂             ͂                            &#834;          &#x0342;                        perispomenigreekcmb             
̓             ̓                            &#835;          &#x0343;                        koroniscmb      
̈́             ̈́                            &#836;          &#x0344;                        dialytikatonoscmb               
ͅ             ͅ                            &#837;          &#x0345;                        ypogegrammenigreekcmb           
͠             ͠                            &#864;          &#x0360;                        tildedoublecmb  
͡             ͡                            &#865;          &#x0361;                        breveinverteddoublecmb          
ʹ            ʹ                            &#884;          &#x0374;                        numeralsigngreek                
͵            ͵                            &#885;          &#x0375;                        numeralsignlowergreek           
ͺ            ͺ                            &#890;          &#x037A;                        ypogegrammeni   
;            ;                            &#894;          &#x037E;                        questiongreek   
΄            ΄                            &#900;          &#x0384;                        tonos           
΅            ΅                            &#901;          &#x0385;                        dialytikatonos
                                                                                          dieresistonos   
Ά            Ά                            &#902;          &#x0386;                        Alphatonos      
·            ·                            &#903;          &#x0387;                        anoteleia       
Έ            Έ                            &#904;          &#x0388;                        Epsilontonos    
Ή            Ή                            &#905;          &#x0389;                        Etatonos        
Ί            Ί                            &#906;          &#x038A;                        Iotatonos       
Ό            Ό                            &#908;          &#x038C;                        Omicrontonos    
Ύ            Ύ                            &#910;          &#x038E;                        Upsilontonos    
Ώ            Ώ                            &#911;          &#x038F;                        Omegatonos      
ΐ            ΐ                            &#912;          &#x0390;                        iotadieresistonos               
Ϊ            Ϊ                            &#938;          &#x03AA;                        Iotadieresis    
Ϋ            Ϋ                            &#939;          &#x03AB;                        Upsilondieresis 
ά            ά                            &#940;          &#x03AC;                        alphatonos      
έ            έ                            &#941;          &#x03AD;                        epsilontonos    
ή            ή                            &#942;          &#x03AE;                        etatonos        
ί            ί                            &#943;          &#x03AF;                        iotatonos       
ΰ            ΰ                            &#944;          &#x03B0;                        upsilondieresistonos            
ϊ            ϊ                            &#970;          &#x03CA;                        iotadieresis    
ϋ            ϋ                            &#971;          &#x03CB;                        upsilondieresis 
ό            ό                            &#972;          &#x03CC;                        omicrontonos    
ύ            ύ                            &#973;          &#x03CD;                        upsilontonos    
ώ            ώ                            &#974;          &#x03CE;                        omegatonos      
ϐ            ϐ                            &#976;          &#x03D0;                        betasymbolgreek 
ϓ            ϓ                            &#979;          &#x03D3;                        Upsilonacutehooksymbolgreek     
ϔ            ϔ                            &#980;          &#x03D4;                        Upsilondieresishooksymbolgreek  
ϕ            ϕ                            &#981;          &#x03D5;                        phi1
                                                                                          phisymbolgreek  
Ϛ            Ϛ                            &#986;          &#x03DA;                        Stigmagreek     
Ϝ            Ϝ                            &#988;          &#x03DC;                        Digammagreek    
Ϟ            Ϟ                            &#990;          &#x03DE;                        Koppagreek      
Ϡ            Ϡ                            &#992;          &#x03E0;                        Sampigreek      
Ϣ            Ϣ                            &#994;          &#x03E2;                        Sheicoptic      
ϣ            ϣ                            &#995;          &#x03E3;                        sheicoptic      
Ϥ            Ϥ                            &#996;          &#x03E4;                        Feicoptic       
ϥ            ϥ                            &#997;          &#x03E5;                        feicoptic       
Ϧ            Ϧ                            &#998;          &#x03E6;                        Kheicoptic      
ϧ            ϧ                            &#999;          &#x03E7;                        kheicoptic      
Ϩ            Ϩ                            &#1000;         &#x03E8;                        Horicoptic      
ϩ            ϩ                            &#1001;         &#x03E9;                        horicoptic      
Ϫ            Ϫ                            &#1002;         &#x03EA;                        Gangiacoptic    
ϫ            ϫ                            &#1003;         &#x03EB;                        gangiacoptic    
Ϭ            Ϭ                            &#1004;         &#x03EC;                        Shimacoptic     
ϭ            ϭ                            &#1005;         &#x03ED;                        shimacoptic     
Ϯ            Ϯ                            &#1006;         &#x03EE;                        Deicoptic       
ϯ            ϯ                            &#1007;         &#x03EF;                        deicoptic       
ϰ            ϰ                            &#1008;         &#x03F0;                        kappasymbolgreek                
ϱ            ϱ                            &#1009;         &#x03F1;                        rhosymbolgreek  
ϲ            ϲ                            &#1010;         &#x03F2;                        sigmalunatesymbolgreek          
ϳ            ϳ                            &#1011;         &#x03F3;                        yotgreek        
Ё            Ё                            &#1025;         &#x0401;                        Iocyrillic
                                                                                          afii10023     
Ђ            Ђ                            &#1026;         &#x0402;                        Djecyrillic
                                                                                          afii10051     
Ѓ            Ѓ                            &#1027;         &#x0403;                        Gjecyrillic
                                                                                          afii10052     
Є            Є                            &#1028;         &#x0404;                        Ecyrillic
                                                                                          afii10053     
Ѕ            Ѕ                            &#1029;         &#x0405;                        Dzecyrillic
                                                                                          afii10054     
І            І                            &#1030;         &#x0406;                        Icyrillic
                                                                                          afii10055     
Ї            Ї                            &#1031;         &#x0407;                        Yicyrillic
                                                                                          afii10056     
Ј            Ј                            &#1032;         &#x0408;                        Jecyrillic
                                                                                          afii10057     
Љ            Љ                            &#1033;         &#x0409;                        Ljecyrillic
                                                                                          afii10058     
Њ            Њ                            &#1034;         &#x040A;                        Njecyrillic
                                                                                          afii10059     
Ћ            Ћ                            &#1035;         &#x040B;                        Tshecyrillic
                                                                                          afii10060     
Ќ            Ќ                            &#1036;         &#x040C;                        Kjecyrillic
                                                                                          afii10061     
Ў            Ў                            &#1038;         &#x040E;                        Ushortcyrillic
                                                                                          afii10062     
Џ            Џ                            &#1039;         &#x040F;                        Dzhecyrillic
                                                                                          afii10145     
А            А                            &#1040;         &#x0410;                        Acyrillic
                                                                                          afii10017     
Б            Б                            &#1041;         &#x0411;                        Becyrillic
                                                                                          afii10018     
В            В                            &#1042;         &#x0412;                        Vecyrillic
                                                                                          afii10019     
Г            Г                            &#1043;         &#x0413;                        Gecyrillic
                                                                                          afii10020     
Д            Д                            &#1044;         &#x0414;                        Decyrillic
                                                                                          afii10021     
Е            Е                            &#1045;         &#x0415;                        Iecyrillic
                                                                                          afii10022     
Ж            Ж                            &#1046;         &#x0416;                        Zhecyrillic
                                                                                          afii10024     
З            З                            &#1047;         &#x0417;                        Zecyrillic
                                                                                          afii10025     
И            И                            &#1048;         &#x0418;                        Iicyrillic
                                                                                          afii10026     
Й            Й                            &#1049;         &#x0419;                        Iishortcyrillic
                                                                                          afii10027     
К            К                            &#1050;         &#x041A;                        Kacyrillic
                                                                                          afii10028     
Л            Л                            &#1051;         &#x041B;                        Elcyrillic
                                                                                          afii10029     
М            М                            &#1052;         &#x041C;                        Emcyrillic
                                                                                          afii10030     
Н            Н                            &#1053;         &#x041D;                        Encyrillic
                                                                                          afii10031     
О            О                            &#1054;         &#x041E;                        Ocyrillic
                                                                                          afii10032     
П            П                            &#1055;         &#x041F;                        Pecyrillic
                                                                                          afii10033     
Р            Р                            &#1056;         &#x0420;                        Ercyrillic
                                                                                          afii10034     
С            С                            &#1057;         &#x0421;                        Escyrillic
                                                                                          afii10035     
Т            Т                            &#1058;         &#x0422;                        Tecyrillic
                                                                                          afii10036     
У            У                            &#1059;         &#x0423;                        Ucyrillic
                                                                                          afii10037     
Ф            Ф                            &#1060;         &#x0424;                        Efcyrillic
                                                                                          afii10038     
Х            Х                            &#1061;         &#x0425;                        Khacyrillic
                                                                                          afii10039     
Ц            Ц                            &#1062;         &#x0426;                        Tsecyrillic
                                                                                          afii10040     
Ч            Ч                            &#1063;         &#x0427;                        Checyrillic
                                                                                          afii10041     
Ш            Ш                            &#1064;         &#x0428;                        Shacyrillic
